,Unnamed: 0,title,subtitle,pdf,txt,more,fileName,year,date,President
0,0,30 WCPD 1 - The President's Radio Address,"Addresses and Remarks. Saturday, January 1, 1994.",https://www.gpo.gov/fdsys/pkg/WCPD-1994-01-10/pdf/WCPD-1994-01-10-Pg1-2.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1994-01-10/html/WCPD-1994-01-10-Pg1-2.htm,search/pagedetails.action?collectionCode=CPD&browsePath=1994%2F01&granuleId=WCPD-1994-01-10-Pg1-2&packageId=WCPD-1994-01-10&fromBrowse=true,WCPD-1994-01-10-Pg1-2,1994,"Saturday, January 1, 1994",Bill Clinton
1,1,30 WCPD 3 - Remarks on Health Care and an Exchange With Reporters,"Addresses and Remarks. Monday, January 3, 1994.",https://www.gpo.gov/fdsys/pkg/WCPD-1994-01-10/pdf/WCPD-1994-01-10-Pg3.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1994-01-10/html/WCPD-1994-01-10-Pg3.htm,search/pagedetails.action?collectionCode=CPD&browsePath=1994%2F01&granuleId=WCPD-1994-01-10-Pg3&packageId=WCPD-1994-01-10&fromBrowse=true,WCPD-1994-01-10-Pg3,1994,"Monday, January 3, 1994",Bill Clinton
2,2,30 WCPD 4 - Letter to Congressional Leaders Transmitting a Report on Loan Guarantees to Israel,"Communications to Congress. Monday, January 3, 1994.",https://www.gpo.gov/fdsys/pkg/WCPD-1994-01-10/pdf/WCPD-1994-01-10-Pg4.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1994-01-10/html/WCPD-1994-01-10-Pg4.htm,search/pagedetails.action?collectionCode=CPD&browsePath=1994%2F01&granuleId=WCPD-1994-01-10-Pg4&packageId=WCPD-1994-01-10&fromBrowse=true,WCPD-1994-01-10-Pg4,1994,"Monday, January 3, 1994",Bill Clinton
3,3,"30 WCPD 4 - Remarks to Central Intelligence Agency Employees in Langley, Virginia","Addresses and Remarks. Tuesday, January 4, 1994.",https://www.gpo.gov/fdsys/pkg/WCPD-1994-01-10/pdf/WCPD-1994-01-10-Pg4-2.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1994-01-10/html/WCPD-1994-01-10-Pg4-2.htm,search/pagedetails.action?collectionCode=CPD&browsePath=1994%2F01&granuleId=WCPD-1994-01-10-Pg4-2&packageId=WCPD-1994-01-10&fromBrowse=true,WCPD-1994-01-10-Pg4-2,1994,"Tuesday, January 4, 1994",Bill Clinton
4,4,30 WCPD 5 - Exchange With Reporters Prior to Discussions With Prime Minister Ruud Lubbers of The Netherlands,"Meetings With Foreign Leaders. Tuesday, January 4, 1994.",https://www.gpo.gov/fdsys/pkg/WCPD-1994-01-10/pdf/WCPD-1994-01-10-Pg5.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1994-01-10/html/WCPD-1994-01-10-Pg5.htm,search/pagedetails.action?collectionCode=CPD&browsePath=1994%2F01&granuleId=WCPD-1994-01-10-Pg5&packageId=WCPD-1994-01-10&fromBrowse=true,WCPD-1994-01-10-Pg5,1994,"Tuesday, January 4, 1994",Bill Clinton
5,5,30 WCPD 7 - Nomination for Ambassador to New Zealand and Western Samoa," Wednesday, January 5, 1994.",https://www.gpo.gov/fdsys/pkg/WCPD-1994-01-10/pdf/WCPD-1994-01-10-Pg7.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1994-01-10/html/WCPD-1994-01-10-Pg7.htm,search/pagedetails.action?collectionCode=CPD&browsePath=1994%2F01&granuleId=WCPD-1994-01-10-Pg7&packageId=WCPD-1994-01-10&fromBrowse=true,WCPD-1994-01-10-Pg7,1994,"Wednesday, January 5, 1994",Bill Clinton
6,6,30 WCPD 7 - Nomination for Director of the United States Geological Survey,"Appointments and Nominations. Wednesday, January 5, 1994.",https://www.gpo.gov/fdsys/pkg/WCPD-1994-01-10/pdf/WCPD-1994-01-10-Pg7-2.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1994-01-10/html/WCPD-1994-01-10-Pg7-2.htm,search/pagedetails.action?collectionCode=CPD&browsePath=1994%2F01&granuleId=WCPD-1994-01-10-Pg7-2&packageId=WCPD-1994-01-10&fromBrowse=true,WCPD-1994-01-10-Pg7-2,1994,"Wednesday, January 5, 1994",Bill Clinton
7,7,"30 WCPD 7 - Proclamation 6644--Death of Thomas P. O'Neill, Jr.","Proclamations. Thursday, January 6, 1994.",https://www.gpo.gov/fdsys/pkg/WCPD-1994-01-10/pdf/WCPD-1994-01-10-Pg7-3.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1994-01-10/html/WCPD-1994-01-10-Pg7-3.htm,search/pagedetails.action?collectionCode=CPD&browsePath=1994%2F01&granuleId=WCPD-1994-01-10-Pg7-3&packageId=WCPD-1994-01-10&fromBrowse=true,WCPD-1994-01-10-Pg7-3,1994,"Thursday, January 6, 1994",Bill Clinton
8,8,"30 WCPD 8 - Statement on the Death of Thomas P. O'Neill, Jr.","Statements by the President. Thursday, January 6, 1994.",https://www.gpo.gov/fdsys/pkg/WCPD-1994-01-10/pdf/WCPD-1994-01-10-Pg8.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1994-01-10/html/WCPD-1994-01-10-Pg8.htm,search/pagedetails.action?collectionCode=CPD&browsePath=1994%2F01&granuleId=WCPD-1994-01-10-Pg8&packageId=WCPD-1994-01-10&fromBrowse=true,WCPD-1994-01-10-Pg8,1994,"Thursday, January 6, 1994",Bill Clinton
9,9,30 WCPD 8 - Digest of Other White House Announcements,"Supplementary Materials. Friday, January 7, 1994.",https://www.gpo.gov/fdsys/pkg/WCPD-1994-01-10/pdf/WCPD-1994-01-10-Pg8-2.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1994-01-10/html/WCPD-1994-01-10-Pg8-2.htm,search/pagedetails.action?collectionCode=CPD&browsePath=1994%2F01&granuleId=WCPD-1994-01-10-Pg8-2&packageId=WCPD-1994-01-10&fromBrowse=true,WCPD-1994-01-10-Pg8-2,1994,"Friday, January 7, 1994",Bill Clinton
10,10,30 WCPD 9 - Nominations Submitted to the Senate,"Supplementary Materials. Friday, January 7, 1994.",https://www.gpo.gov/fdsys/pkg/WCPD-1994-01-10/pdf/WCPD-1994-01-10-Pg9.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1994-01-10/html/WCPD-1994-01-10-Pg9.htm,search/pagedetails.action?collectionCode=CPD&browsePath=1994%2F01&granuleId=WCPD-1994-01-10-Pg9&packageId=WCPD-1994-01-10&fromBrowse=true,WCPD-1994-01-10-Pg9,1994,"Friday, January 7, 1994",Bill Clinton
11,11,30 WCPD 9 - Checklist of White House Press Releases,"Supplementary Materials. Friday, January 7, 1994.",https://www.gpo.gov/fdsys/pkg/WCPD-1994-01-10/pdf/WCPD-1994-01-10-Pg9-2.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1994-01-10/html/WCPD-1994-01-10-Pg9-2.htm,search/pagedetails.action?collectionCode=CPD&browsePath=1994%2F01&granuleId=WCPD-1994-01-10-Pg9-2&packageId=WCPD-1994-01-10&fromBrowse=true,WCPD-1994-01-10-Pg9-2,1994,"Friday, January 7, 1994",Bill Clinton
12,12,30 WCPD 9 - Acts Approved by the President,"Supplementary Materials. Friday, January 7, 1994.",https://www.gpo.gov/fdsys/pkg/WCPD-1994-01-10/pdf/WCPD-1994-01-10-Pg9-3.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1994-01-10/html/WCPD-1994-01-10-Pg9-3.htm,search/pagedetails.action?collectionCode=CPD&browsePath=1994%2F01&granuleId=WCPD-1994-01-10-Pg9-3&packageId=WCPD-1994-01-10&fromBrowse=true,WCPD-1994-01-10-Pg9-3,1994,"Friday, January 7, 1994",Bill Clinton
13,13,30 WCPD 11 - Exchange With Reporters Prior to Discussions With Prime Minister Jean- Luc Dehaene of Belgium in...,"Meetings With Foreign Leaders. Sunday, January 9, 1994.",https://www.gpo.gov/fdsys/pkg/WCPD-1994-01-17/pdf/WCPD-1994-01-17-Pg11.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1994-01-17/html/WCPD-1994-01-17-Pg11.htm,search/pagedetails.action?collectionCode=CPD&browsePath=1994%2F01&granuleId=WCPD-1994-01-17-Pg11&packageId=WCPD-1994-01-17&fromBrowse=true,WCPD-1994-01-17-Pg11,1994,"Sunday, January 9, 1994",Bill Clinton
14,14,30 WCPD 11 - Remarks to Future Leaders of Europe in Brussels,"Addresses and Remarks. Sunday, January 9, 1994.",https://www.gpo.gov/fdsys/pkg/WCPD-1994-01-17/pdf/WCPD-1994-01-17-Pg11-2.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1994-01-17/html/WCPD-1994-01-17-Pg11-2.htm,search/pagedetails.action?collectionCode=CPD&browsePath=1994%2F01&granuleId=WCPD-1994-01-17-Pg11-2&packageId=WCPD-1994-01-17&fromBrowse=true,WCPD-1994-01-17-Pg11-2,1994,"Sunday, January 9, 1994",Bill Clinton
15,15,30 WCPD 17 - Remarks on Departure From The Hotel De Ville to in Brussels,"Addresses and Remarks. Sunday, January 9, 1994.",https://www.gpo.gov/fdsys/pkg/WCPD-1994-01-17/pdf/WCPD-1994-01-17-Pg17.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1994-01-17/html/WCPD-1994-01-17-Pg17.htm,search/pagedetails.action?collectionCode=CPD&browsePath=1994%2F01&granuleId=WCPD-1994-01-17-Pg17&packageId=WCPD-1994-01-17&fromBrowse=true,WCPD-1994-01-17-Pg17,1994,"Sunday, January 9, 1994",Bill Clinton
16,16,30 WCPD 18 - Remarks to the American Diplomatic Community in Brussels,"Addresses and Remarks. Sunday, January 9, 1994.",https://www.gpo.gov/fdsys/pkg/WCPD-1994-01-17/pdf/WCPD-1994-01-17-Pg18.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1994-01-17/html/WCPD-1994-01-17-Pg18.htm,search/pagedetails.action?collectionCode=CPD&browsePath=1994%2F01&granuleId=WCPD-1994-01-17-Pg18&packageId=WCPD-1994-01-17&fromBrowse=true,WCPD-1994-01-17-Pg18,1994,"Sunday, January 9, 1994",Bill Clinton
17,17,30 WCPD 19 - Memorandum on Assistance to the States of the Former Soviet Union,"Communications to Federal Agencies. Saturday, January 8, 1994.",https://www.gpo.gov/fdsys/pkg/WCPD-1994-01-17/pdf/WCPD-1994-01-17-Pg19.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1994-01-17/html/WCPD-1994-01-17-Pg19.htm,search/pagedetails.action?collectionCode=CPD&browsePath=1994%2F01&granuleId=WCPD-1994-01-17-Pg19&packageId=WCPD-1994-01-17&fromBrowse=true,WCPD-1994-01-17-Pg19,1994,"Saturday, January 8, 1994",Bill Clinton
18,18,30 WCPD 19 - Memorandum on Assistance to the States of the Former Soviet Union,"Communications to Federal Agencies. Saturday, January 8, 1994.",https://www.gpo.gov/fdsys/pkg/WCPD-1994-01-17/pdf/WCPD-1994-01-17-Pg19-2.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1994-01-17/html/WCPD-1994-01-17-Pg19-2.htm,search/pagedetails.action?collectionCode=CPD&browsePath=1994%2F01&granuleId=WCPD-1994-01-17-Pg19-2&packageId=WCPD-1994-01-17&fromBrowse=true,WCPD-1994-01-17-Pg19-2,1994,"Saturday, January 8, 1994",Bill Clinton
19,19,30 WCPD 20 - Letter to Congressional Leaders Reporting on Peacekeeping Operations in the Former Yugoslav...,"Communications to Congress. Saturday, January 8, 1994.",https://www.gpo.gov/fdsys/pkg/WCPD-1994-01-17/pdf/WCPD-1994-01-17-Pg20.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1994-01-17/html/WCPD-1994-01-17-Pg20.htm,search/pagedetails.action?collectionCode=CPD&browsePath=1994%2F01&granuleId=WCPD-1994-01-17-Pg20&packageId=WCPD-1994-01-17&fromBrowse=true,WCPD-1994-01-17-Pg20,1994,"Saturday, January 8, 1994",Bill Clinton
