,Unnamed: 0,title,subtitle,pdf,txt,more,fileName,year,date,President
0,0,32 WCPD 5 - Statement on the Death of Admiral Arleigh A. Burke,"Statements by the President. Monday, January 1, 1996.",https://www.gpo.gov/fdsys/pkg/WCPD-1996-01-08/pdf/WCPD-1996-01-08-Pg5.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1996-01-08/html/WCPD-1996-01-08-Pg5.htm,search/pagedetails.action;jsessionid=ectnZJZyOvIaMupAFb69z8cmJ6IYjGwfFKUVjcjAcuiOk-fdxsIn!-1169817914!319326507?browsePath=1996%2F01&granuleId=WCPD-1996-01-08-Pg5&packageId=WCPD-1996-01-08&fromBrowse=true,WCPD-1996-01-08-Pg5,1996,"Monday, January 1, 1996",Bill Clinton
1,1,32 WCPD 6 - Exchange With Reporters Prior to a Meeting With Congressional Leaders,"Interviews With the News Media. Tuesday, January 2, 1996.",https://www.gpo.gov/fdsys/pkg/WCPD-1996-01-08/pdf/WCPD-1996-01-08-Pg6.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1996-01-08/html/WCPD-1996-01-08-Pg6.htm,search/pagedetails.action;jsessionid=ectnZJZyOvIaMupAFb69z8cmJ6IYjGwfFKUVjcjAcuiOk-fdxsIn!-1169817914!319326507?browsePath=1996%2F01&granuleId=WCPD-1996-01-08-Pg6&packageId=WCPD-1996-01-08&fromBrowse=true,WCPD-1996-01-08-Pg6,1996,"Tuesday, January 2, 1996",Bill Clinton
2,2,32 WCPD 6 - Proclamation 6860--Death of Admiral Arleigh A. Burke,"Proclamations. Tuesday, January 2, 1996.",https://www.gpo.gov/fdsys/pkg/WCPD-1996-01-08/pdf/WCPD-1996-01-08-Pg6-2.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1996-01-08/html/WCPD-1996-01-08-Pg6-2.htm,search/pagedetails.action;jsessionid=ectnZJZyOvIaMupAFb69z8cmJ6IYjGwfFKUVjcjAcuiOk-fdxsIn!-1169817914!319326507?browsePath=1996%2F01&granuleId=WCPD-1996-01-08-Pg6-2&packageId=WCPD-1996-01-08&fromBrowse=true,WCPD-1996-01-08-Pg6-2,1996,"Tuesday, January 2, 1996",Bill Clinton
3,3,32 WCPD 6 - Remarks on the Impact of the Budget Impasse and an Exchange With Reporters,"Addresses and Remarks. Wednesday, January 3, 1996.",https://www.gpo.gov/fdsys/pkg/WCPD-1996-01-08/pdf/WCPD-1996-01-08-Pg6-3.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1996-01-08/html/WCPD-1996-01-08-Pg6-3.htm,search/pagedetails.action;jsessionid=ectnZJZyOvIaMupAFb69z8cmJ6IYjGwfFKUVjcjAcuiOk-fdxsIn!-1169817914!319326507?browsePath=1996%2F01&granuleId=WCPD-1996-01-08-Pg6-3&packageId=WCPD-1996-01-08&fromBrowse=true,WCPD-1996-01-08-Pg6-3,1996,"Wednesday, January 3, 1996",Bill Clinton
4,4,32 WCPD 8 - Notice--Continuation of Libyan Emergency,"Notices. Wednesday, January 3, 1996.",https://www.gpo.gov/fdsys/pkg/WCPD-1996-01-08/pdf/WCPD-1996-01-08-Pg8.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1996-01-08/html/WCPD-1996-01-08-Pg8.htm,search/pagedetails.action;jsessionid=ectnZJZyOvIaMupAFb69z8cmJ6IYjGwfFKUVjcjAcuiOk-fdxsIn!-1169817914!319326507?browsePath=1996%2F01&granuleId=WCPD-1996-01-08-Pg8&packageId=WCPD-1996-01-08&fromBrowse=true,WCPD-1996-01-08-Pg8,1996,"Wednesday, January 3, 1996",Bill Clinton
5,5,32 WCPD 8 - Message to the Congress on the Continuation of the Libyan Emergency,"Communications to Congress. Wednesday, January 3, 1996.",https://www.gpo.gov/fdsys/pkg/WCPD-1996-01-08/pdf/WCPD-1996-01-08-Pg8-2.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1996-01-08/html/WCPD-1996-01-08-Pg8-2.htm,search/pagedetails.action;jsessionid=ectnZJZyOvIaMupAFb69z8cmJ6IYjGwfFKUVjcjAcuiOk-fdxsIn!-1169817914!319326507?browsePath=1996%2F01&granuleId=WCPD-1996-01-08-Pg8-2&packageId=WCPD-1996-01-08&fromBrowse=true,WCPD-1996-01-08-Pg8-2,1996,"Wednesday, January 3, 1996",Bill Clinton
6,6,32 WCPD 9 - Message to the Congress on Trade With Romania,"Communications to Congress. Wednesday, January 3, 1996.",https://www.gpo.gov/fdsys/pkg/WCPD-1996-01-08/pdf/WCPD-1996-01-08-Pg9.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1996-01-08/html/WCPD-1996-01-08-Pg9.htm,search/pagedetails.action;jsessionid=ectnZJZyOvIaMupAFb69z8cmJ6IYjGwfFKUVjcjAcuiOk-fdxsIn!-1169817914!319326507?browsePath=1996%2F01&granuleId=WCPD-1996-01-08-Pg9&packageId=WCPD-1996-01-08&fromBrowse=true,WCPD-1996-01-08-Pg9,1996,"Wednesday, January 3, 1996",Bill Clinton
7,7,32 WCPD 9 - Message to the Congress Transmitting the Netherlands-United States Tax Protocol,"Communications to Congress. Wednesday, January 3, 1996.",https://www.gpo.gov/fdsys/pkg/WCPD-1996-01-08/pdf/WCPD-1996-01-08-Pg9-2.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1996-01-08/html/WCPD-1996-01-08-Pg9-2.htm,search/pagedetails.action;jsessionid=ectnZJZyOvIaMupAFb69z8cmJ6IYjGwfFKUVjcjAcuiOk-fdxsIn!-1169817914!319326507?browsePath=1996%2F01&granuleId=WCPD-1996-01-08-Pg9-2&packageId=WCPD-1996-01-08&fromBrowse=true,WCPD-1996-01-08-Pg9-2,1996,"Wednesday, January 3, 1996",Bill Clinton
8,8,"32 WCPD 10 - Remarks at the Funeral Service for Admiral Arleigh A. Burke in Annapolis, Maryland","Addresses and Remarks. Thursday, January 4, 1996.",https://www.gpo.gov/fdsys/pkg/WCPD-1996-01-08/pdf/WCPD-1996-01-08-Pg10.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1996-01-08/html/WCPD-1996-01-08-Pg10.htm,search/pagedetails.action;jsessionid=ectnZJZyOvIaMupAFb69z8cmJ6IYjGwfFKUVjcjAcuiOk-fdxsIn!-1169817914!319326507?browsePath=1996%2F01&granuleId=WCPD-1996-01-08-Pg10&packageId=WCPD-1996-01-08&fromBrowse=true,WCPD-1996-01-08-Pg10,1996,"Thursday, January 4, 1996",Bill Clinton
9,9,32 WCPD 11 - Letter to Congressional Leaders on Iraq,"Communications to Congress. Thursday, January 4, 1996.",https://www.gpo.gov/fdsys/pkg/WCPD-1996-01-08/pdf/WCPD-1996-01-08-Pg11.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1996-01-08/html/WCPD-1996-01-08-Pg11.htm,search/pagedetails.action;jsessionid=ectnZJZyOvIaMupAFb69z8cmJ6IYjGwfFKUVjcjAcuiOk-fdxsIn!-1169817914!319326507?browsePath=1996%2F01&granuleId=WCPD-1996-01-08-Pg11&packageId=WCPD-1996-01-08&fromBrowse=true,WCPD-1996-01-08-Pg11,1996,"Thursday, January 4, 1996",Bill Clinton
10,10,32 WCPD 13 - Letter to Congressional Leaders Transmitting the Report on Cyprus,"Communications to Congress. Thursday, January 4, 1996.",https://www.gpo.gov/fdsys/pkg/WCPD-1996-01-08/pdf/WCPD-1996-01-08-Pg13.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1996-01-08/html/WCPD-1996-01-08-Pg13.htm,search/pagedetails.action;jsessionid=ectnZJZyOvIaMupAFb69z8cmJ6IYjGwfFKUVjcjAcuiOk-fdxsIn!-1169817914!319326507?browsePath=1996%2F01&granuleId=WCPD-1996-01-08-Pg13&packageId=WCPD-1996-01-08&fromBrowse=true,WCPD-1996-01-08-Pg13,1996,"Thursday, January 4, 1996",Bill Clinton
11,11,32 WCPD 13 - Statement on Signing District of Columbia Appropriations Legislation,"Bill Signings. Thursday, January 4, 1996.",https://www.gpo.gov/fdsys/pkg/WCPD-1996-01-08/pdf/WCPD-1996-01-08-Pg13-2.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1996-01-08/html/WCPD-1996-01-08-Pg13-2.htm,search/pagedetails.action;jsessionid=ectnZJZyOvIaMupAFb69z8cmJ6IYjGwfFKUVjcjAcuiOk-fdxsIn!-1169817914!319326507?browsePath=1996%2F01&granuleId=WCPD-1996-01-08-Pg13-2&packageId=WCPD-1996-01-08&fromBrowse=true,WCPD-1996-01-08-Pg13-2,1996,"Thursday, January 4, 1996",Bill Clinton
12,12,32 WCPD 14 - Memorandum on Relations With the Palestine Liberation Organization,"Communications to Federal Agencies. Thursday, January 4, 1996.",https://www.gpo.gov/fdsys/pkg/WCPD-1996-01-08/pdf/WCPD-1996-01-08-Pg14.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-1996-01-08/html/WCPD-1996-01-08-Pg14.htm,search/pagedetails.action;jsessionid=ectnZJZyOvIaMupAFb69z8cmJ6IYjGwfFKUVjcjAcuiOk-fdxsIn!-1169817914!319326507?browsePath=1996%2F01&granuleId=WCPD-1996-01-08-Pg14&packageId=WCPD-1996-01-08&fromBrowse=true,WCPD-1996-01-08-Pg14,1996,"Thursday, January 4, 1996",Bill Clinton
