title,subtitle,pdf,txt,more,fileName,year
DCPD-201200001  - Remarks to Iowa Democratic Caucus Attendees and a Question-and-Answer Session,"Addresses and Remarks. Tuesday, January 3, 2012.",https://www.gpo.gov/fdsys/pkg/DCPD-201200001/pdf/DCPD-201200001.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201200001/html/DCPD-201200001.htm,search/pagedetails.action;jsessionid=uoBnVL2AvajtnzMP3BwZktsqKI4JIRo4DMozlJMjOwdhTcnswUr0!776835587!-72603446?browsePath=2012%2F01&granuleId=&packageId=DCPD-201200001&fromBrowse=true,DCPD-201200001,2012
"DCPD-201200002  - Remarks in Cleveland, Ohio","Addresses and Remarks. Wednesday, January 4, 2012.",https://www.gpo.gov/fdsys/pkg/DCPD-201200002/pdf/DCPD-201200002.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201200002/html/DCPD-201200002.htm,search/pagedetails.action;jsessionid=uoBnVL2AvajtnzMP3BwZktsqKI4JIRo4DMozlJMjOwdhTcnswUr0!776835587!-72603446?browsePath=2012%2F01&granuleId=&packageId=DCPD-201200002&fromBrowse=true,DCPD-201200002,2012
"DCPD-201200003  - Remarks at Shaker Heights High School in Shaker Heights, Ohio","Addresses and Remarks. Wednesday, January 4, 2012.",https://www.gpo.gov/fdsys/pkg/DCPD-201200003/pdf/DCPD-201200003.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201200003/html/DCPD-201200003.htm,search/pagedetails.action;jsessionid=uoBnVL2AvajtnzMP3BwZktsqKI4JIRo4DMozlJMjOwdhTcnswUr0!776835587!-72603446?browsePath=2012%2F01&granuleId=&packageId=DCPD-201200003&fromBrowse=true,DCPD-201200003,2012
"DCPD-201200004  - Remarks at the Pentagon in Arlington, Virginia","Addresses and Remarks. Thursday, January 5, 2012.",https://www.gpo.gov/fdsys/pkg/DCPD-201200004/pdf/DCPD-201200004.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201200004/html/DCPD-201200004.htm,search/pagedetails.action;jsessionid=uoBnVL2AvajtnzMP3BwZktsqKI4JIRo4DMozlJMjOwdhTcnswUr0!776835587!-72603446?browsePath=2012%2F01&granuleId=&packageId=DCPD-201200004&fromBrowse=true,DCPD-201200004,2012
DCPD-201200005  - Memorandum on Delegation of a Certain Function and Authority Conferred Upon the President by...,"Communications to Federal Agencies. Thursday, January 5, 2012.",https://www.gpo.gov/fdsys/pkg/DCPD-201200005/pdf/DCPD-201200005.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201200005/html/DCPD-201200005.htm,search/pagedetails.action;jsessionid=uoBnVL2AvajtnzMP3BwZktsqKI4JIRo4DMozlJMjOwdhTcnswUr0!776835587!-72603446?browsePath=2012%2F01&granuleId=&packageId=DCPD-201200005&fromBrowse=true,DCPD-201200005,2012
DCPD-201200006  - Remarks to Consumer Financial Protection Bureau Employees,"Addresses and Remarks. Friday, January 6, 2012.",https://www.gpo.gov/fdsys/pkg/DCPD-201200006/pdf/DCPD-201200006.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201200006/html/DCPD-201200006.htm,search/pagedetails.action;jsessionid=uoBnVL2AvajtnzMP3BwZktsqKI4JIRo4DMozlJMjOwdhTcnswUr0!776835587!-72603446?browsePath=2012%2F01&granuleId=&packageId=DCPD-201200006&fromBrowse=true,DCPD-201200006,2012
DCPD-201200007  - Presidential Determination on the Eligibility of South Sudan to Receive Defense Articles and...,"Communications to Federal Agencies. Friday, January 6, 2012.",https://www.gpo.gov/fdsys/pkg/DCPD-201200007/pdf/DCPD-201200007.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201200007/html/DCPD-201200007.htm,search/pagedetails.action;jsessionid=uoBnVL2AvajtnzMP3BwZktsqKI4JIRo4DMozlJMjOwdhTcnswUr0!776835587!-72603446?browsePath=2012%2F01&granuleId=&packageId=DCPD-201200007&fromBrowse=true,DCPD-201200007,2012
DCPD-201200008  - Statement on the Observance of the Coptic Orthodox Christmas,"Statements by the President. Friday, January 6, 2012.",https://www.gpo.gov/fdsys/pkg/DCPD-201200008/pdf/DCPD-201200008.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201200008/html/DCPD-201200008.htm,search/pagedetails.action;jsessionid=uoBnVL2AvajtnzMP3BwZktsqKI4JIRo4DMozlJMjOwdhTcnswUr0!776835587!-72603446?browsePath=2012%2F01&granuleId=&packageId=DCPD-201200008&fromBrowse=true,DCPD-201200008,2012
DCPD-201200009  - The President's Weekly Address,"Addresses and Remarks. Saturday, January 7, 2012.",https://www.gpo.gov/fdsys/pkg/DCPD-201200009/pdf/DCPD-201200009.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201200009/html/DCPD-201200009.htm,search/pagedetails.action;jsessionid=uoBnVL2AvajtnzMP3BwZktsqKI4JIRo4DMozlJMjOwdhTcnswUr0!776835587!-72603446?browsePath=2012%2F01&granuleId=&packageId=DCPD-201200009&fromBrowse=true,DCPD-201200009,2012
DCPD-201200010  - Remarks Honoring the 2011 National Basketball Association Champion Dallas Mavericks,"Addresses and Remarks. Monday, January 9, 2012.",https://www.gpo.gov/fdsys/pkg/DCPD-201200010/pdf/DCPD-201200010.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201200010/html/DCPD-201200010.htm,search/pagedetails.action;jsessionid=uoBnVL2AvajtnzMP3BwZktsqKI4JIRo4DMozlJMjOwdhTcnswUr0!776835587!-72603446?browsePath=2012%2F01&granuleId=&packageId=DCPD-201200010&fromBrowse=true,DCPD-201200010,2012
