title,subtitle,pdf,txt,more,fileName,year
DCPD-201600001  - The President's Weekly Address,"Addresses and Remarks. Friday, January 1, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600001/pdf/DCPD-201600001.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600001/html/DCPD-201600001.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F01&granuleId=&packageId=DCPD-201600001&fromBrowse=true,DCPD-201600001,2016
DCPD-201600002  - Remarks Following a Meeting on Gun Violence,"Addresses and Remarks. Monday, January 4, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600002/pdf/DCPD-201600002.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600002/html/DCPD-201600002.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F01&granuleId=&packageId=DCPD-201600002&fromBrowse=true,DCPD-201600002,2016
DCPD-201600003  - Statement on Representative James A. McDermott's Decision Not To Seek Reelection,"Statements by the President. Monday, January 4, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600003/pdf/DCPD-201600003.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600003/html/DCPD-201600003.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F01&granuleId=&packageId=DCPD-201600003&fromBrowse=true,DCPD-201600003,2016
DCPD-201600004  - Memorandum on Promoting Smart Gun Technology,"Communications to Federal Agencies. Monday, January 4, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600004/pdf/DCPD-201600004.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600004/html/DCPD-201600004.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F01&granuleId=&packageId=DCPD-201600004&fromBrowse=true,DCPD-201600004,2016
DCPD-201600005  - Remarks on Gun Violence,"Addresses and Remarks. Tuesday, January 5, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600005/pdf/DCPD-201600005.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600005/html/DCPD-201600005.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F01&granuleId=&packageId=DCPD-201600005&fromBrowse=true,DCPD-201600005,2016
DCPD-201600006  - Statement on Representative Steven J. Israel's Decision Not To Seek Reelection,"Statements by the President. Tuesday, January 5, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600006/pdf/DCPD-201600006.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600006/html/DCPD-201600006.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F01&granuleId=&packageId=DCPD-201600006&fromBrowse=true,DCPD-201600006,2016
DCPD-201600007  - Statement on the Observance of Orthodox Christmas,"Statements by the President. Thursday, January 7, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600007/pdf/DCPD-201600007.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600007/html/DCPD-201600007.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F01&granuleId=&packageId=DCPD-201600007&fromBrowse=true,DCPD-201600007,2016
"DCPD-201600008  - Remarks and a Question-and-Answer Session at CNN's ""Guns in America"" Town Hall Meeting in Fairfax...","Addresses and Remarks. Thursday, January 7, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600008/pdf/DCPD-201600008.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600008/html/DCPD-201600008.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F01&granuleId=&packageId=DCPD-201600008&fromBrowse=true,DCPD-201600008,2016
DCPD-201600009  - Message to the House of Representatives Returning Without Approval the Restoring Americans...,"Bill Signings and Vetoes. Friday, January 8, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600009/pdf/DCPD-201600009.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600009/html/DCPD-201600009.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F01&granuleId=&packageId=DCPD-201600009&fromBrowse=true,DCPD-201600009,2016
DCPD-201600010  - The President's Weekly Address,"Addresses and Remarks. Saturday, January 9, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600010/pdf/DCPD-201600010.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600010/html/DCPD-201600010.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F01&granuleId=&packageId=DCPD-201600010&fromBrowse=true,DCPD-201600010,2016
DCPD-201600011  - Proclamation 9388-To Take Certain Actions Under the African Growth and Opportunity Act,"Proclamations. Monday, January 11, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600011/pdf/DCPD-201600011.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600011/html/DCPD-201600011.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F01&granuleId=&packageId=DCPD-201600011&fromBrowse=true,DCPD-201600011,2016
DCPD-201600012  - Address Before a Joint Session of the Congress on the State of the Union,"Addresses to the Nation. Tuesday, January 12, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600012/pdf/DCPD-201600012.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600012/html/DCPD-201600012.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F01&granuleId=&packageId=DCPD-201600012&fromBrowse=true,DCPD-201600012,2016
"DCPD-201600013  - Remarks at the University of Nebraska Omaha in Omaha, Nebraska","Addresses and Remarks. Wednesday, January 13, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600013/pdf/DCPD-201600013.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600013/html/DCPD-201600013.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F01&granuleId=&packageId=DCPD-201600013&fromBrowse=true,DCPD-201600013,2016
DCPD-201600014  - Memorandum on Unexpected Urgent Refugee and Migration Needs,"Communications to Federal Agencies. Wednesday, January 13, 2016.",https://www.gpo.gov/fdsys/pkg/DCPD-201600014/pdf/DCPD-201600014.pdf,https://www.gpo.gov/fdsys/pkg/DCPD-201600014/html/DCPD-201600014.htm,search/pagedetails.action?collectionCode=CPD&browsePath=2016%2F01&granuleId=&packageId=DCPD-201600014&fromBrowse=true,DCPD-201600014,2016
